,DGC,BTC,EVC
JimmyHerf,0.3648648648648649,0.23046059004963118,0.6047338736159745
FrancesHildebrand,0.05405405405405406,0.003912131309391583,0.05677741066368869
BobHildebrand,0.05405405405405406,0.0025299271874614352,0.059446543032521934
EllenThatcher,0.44594594594594594,0.4924799325484258,0.4997101279423657
GeorgeBaldwin,0.1891891891891892,0.18816024261229736,0.14381049178313896
Soubrine,0.02702702702702703,0.0,0.014578794319816254
AnnaCohen,0.04054054054054054,0.026286560533135876,0.00222579336950963
Elmer,0.013513513513513514,0.0,0.00014590290731755965
GladysGaston,0.013513513513513514,0.0,3.0446837335588354e-07
PhineasBlackhead,0.04054054054054054,0.05220288781932618,2.090161715272967e-05
Francie,0.02702702702702703,0.002838454893249414,0.00279013085747898
DutchRobertson,0.02702702702702703,0.0003825743551770949,0.0020677696368879167
JessieLincoln,0.05405405405405406,0.026286560533135876,0.003258731866994571
Florence,0.013513513513513514,0.0,4.068781319700713e-05
JackCunningham,0.05405405405405406,0.0002468221646303838,0.007479746194999211
JamesMerivale,0.0945945945945946,0.036864856727870474,0.08016360194054253
LilyHerf,0.04054054054054054,0.0,0.12843895026578891
MaisieMerivale,0.05405405405405406,0.0025214850557316285,0.09040093710035892
CongoJake,0.13513513513513514,0.10162958108163588,0.23596406628754363
TonyHunter,0.06756756756756757,0.002222601537670029,0.10982070202993266
NevadaJones,0.06756756756756757,0.0041789476720983584,0.022547108485805687
JosephParker,0.013513513513513514,0.0,2.0843687320752463e-57
AntonioCamerone,0.013513513513513514,0.0,2.0843687320752463e-57
Buckminster,0.013513513513513514,0.0,0.0036382380834756485
RoySheffield,0.05405405405405406,0.0003702332469455757,0.04797552807021777
AliceSheffield,0.08108108108108109,0.02772429964210786,0.08325747029380598
Densch,0.05405405405405406,0.10181414291003332,0.0028678345648285595
SerenaDensch,0.013513513513513514,0.0,5.967772376932349e-05
MartinSchiff,0.05405405405405406,0.006071825249907439,0.045974786859989805
JeffersonMerivale,0.04054054054054054,0.0,0.02768664310009828
JakeSilverman,0.02702702702702703,0.0,9.577933413123099e-06
RosieSilverman,0.04054054054054054,0.0518326545723806,0.00013130597633922148
MrRogers,0.02702702702702703,0.0,1.085880309448229e-06
MartinEmery,0.02702702702702703,0.0,0.011080878076608814
JohnOglethorpe,0.0945945945945946,0.00692779596889186,0.10431630889983867
HesterVoorhees,0.02702702702702703,0.0,0.005771725406888781
CassandraWilkins,0.08108108108108109,0.003591262495372084,0.13754544420148296
RuthPrynne,0.0945945945945946,0.026965321485869432,0.14533600921921513
NellieMcNiel,0.06756756756756757,0.002486773377184336,0.03263858678999788
GusMcNiel,0.14864864864864866,0.08217614073778452,0.045115881297215554
CynthiaBlackhead,0.013513513513513514,0.0,4.5670256003382523e-07
EmilyMerivale,0.13513513513513514,0.0528552148415162,0.10419516957125176
Johnny,0.04054054054054054,0.0,0.004004374609091512
AnnetteCardinale,0.05405405405405406,0.0025657207164056484,0.008894401521780629
MikeCardinale,0.08108108108108109,0.008465793739766345,0.016261086387726442
JoeOKeefe,0.14864864864864866,0.049724292532511705,0.04187151791781595
BillyDougan,0.02702702702702703,0.0,0.0004491640015702103
BillyWaldron,0.013513513513513514,0.0,0.00846805625316521
CecilyBaldwin,0.02702702702702703,0.0,0.004845150759091095
LarryHopkins,0.013513513513513514,0.0,0.0036394877618355793
StanwoodEmery,0.12162162162162163,0.039160419982337796,0.38700681658302827
HarryGoldweiser,0.06756756756756757,0.0012341108231519189,0.05382618328844425
RachelGoldweiser,0.04054054054054054,0.0,0.009134514314632022
PhilSandbourne,0.05405405405405406,0.026471677156608666,0.01366810359017772
Specker,0.02702702702702703,0.0,0.0008334925463930071
PearlineAnderson,0.013513513513513514,0.0,0.002013321330418738
JoeHarland,0.14864864864864866,0.07030243605586071,0.07139346881908391
DickSnow,0.05405405405405406,0.0003085277057879797,0.010525066443726775
GrantBullock,0.0945945945945946,0.0065839278168045275,0.07837093574171937
Milly,0.04054054054054054,0.0002468221646303838,0.04292943774070855
SolFallik,0.04054054054054054,0.0001234110823151919,0.01998303576642113
EdThatcher,0.05405405405405406,0.02702702702702703,0.07244854496622295
MrsCulveteer,0.02702702702702703,0.0,0.00403189773719893
Hartly,0.013513513513513514,0.0,0.0005972809473434391
MorrisMcAvoy,0.02702702702702703,0.0,0.011239022103598999
Felsius,0.013513513513513514,0.0,0.005496803001401251
MrsBudkowitz,0.013513513513513514,0.0,0.0021541525275761662
NickySchatz,0.02702702702702703,0.0,0.021923170393885395
ErnestineRigaud,0.013513513513513514,0.0,0.006966228886565151
EmileLoustec,0.04054054054054054,0.026286560533135876,0.05977712842214292
SusieThatcher,0.04054054054054054,0.07663828211773417,0.02091977041537786
MrEmery,0.02702702702702703,0.0,0.0027676816984893845
AliceVaughan,0.013513513513513514,0.0,0.029115902094684634
MarcoOlafson,0.02702702702702703,0.0,0.02649868697508757
MarcusAntoniusZucher,0.013513513513513514,0.0,0.007236700403884231
