,DGC,BTC,EVC
EllenThatcher,0.7096774193548387,0.5465028161802354,0.48410405795687617
LarryHopkins,0.03225806451612903,0.0,0.004889957941821568
JimmyHerf,0.4193548387096774,0.10457245263696877,0.5775594547293348
StanwoodEmery,0.29032258064516125,0.09359959037378392,0.5177365259831801
MartinSchiff,0.06451612903225806,0.0,0.02838517601988708
HarryGoldweiser,0.16129032258064516,0.007168458781362006,0.07415756312266382
RuthPrynne,0.1935483870967742,0.0039426523297491035,0.17664942086032556
RachelGoldweiser,0.0967741935483871,0.0,0.01274030710200385
CassandraWilkins,0.16129032258064516,0.003584229390681003,0.16797111979281357
PhilSandbourne,0.0967741935483871,0.06451612903225806,0.012247596138231646
GeorgeBaldwin,0.29032258064516125,0.20206349206349203,0.15323301627332217
CecilyBaldwin,0.06451612903225806,0.0,0.00714639395735114
PearlineAnderson,0.03225806451612903,0.0,0.003735427511045942
GusMcNiel,0.22580645161290322,0.014383000512032767,0.03472276161871009
JoeHarland,0.25806451612903225,0.17147977470558115,0.07962907002095292
DickSnow,0.12903225806451613,0.0017921146953405016,0.01491124497585047
JohnOglethorpe,0.22580645161290322,0.01566820276497696,0.11111549736902135
JoeOKeefe,0.22580645161290322,0.04379928315412186,0.0477304561265527
MikeCardinale,0.06451612903225806,0.0,0.002871586288425489
TonyHunter,0.12903225806451613,0.0012544802867383513,0.14335962109113456
GrantBullock,0.22580645161290322,0.04610343061955966,0.10192238154430074
NellieMcNiel,0.06451612903225806,0.0,0.0008637924268688194
CongoJake,0.12903225806451613,0.0,0.1154933498084853
Milly,0.0967741935483871,0.0014336917562724014,0.06424734275790075
SolFallik,0.0967741935483871,0.0007168458781362007,0.02825944824208421
EdThatcher,0.06451612903225806,0.0,0.03574947211095837
MrsCulveteer,0.06451612903225806,0.0,0.004472971007713614
Hartly,0.03225806451612903,0.0,0.0007422813139357037
MorrisMcAvoy,0.06451612903225806,0.0,0.018306724798412336
Felsius,0.03225806451612903,0.0,0.008502817559457145
MrsBudkowitz,0.03225806451612903,0.0,0.0033321852597872595
NickySchatz,0.06451612903225806,0.0,0.032958850725102705
